Row Labels,Category
working helpfu,Null
cannot think,Null
cons advice,Null
end day,Null
go even,Null
long helpfu,Null
lot people,Null
make sense,Null
time helpful,Null
also keep,Null
every week,Null
get used,Null
helpful 10,Null
high salary,Null
know helpfu,Null
nothing negative,Null
nothing say,Null
pretty much,Null
act like,Null
cons come,Null
employees longer,Null
fine helpfu,Null
getting things,Null
helpful 19,Null
low salary,Null
people would,Null
team team,Null
years ago,Null
24 hours,Null
cons cons,Null
cons great,Null
could done,Null
everything everything,Null
far helpfu,Null
get use,Null
helpful 16,Null
high volume,Null
improve helpfu,Null
life helpfu,Null
look good,Null
never see,Null
next day,Null
pay less,Null
real cons,Null
social media,Null
use bathroom,Null
weekends helpfu,Null
bad say,Null
busy helpfu,Null
cons good,Null
could better,Null
dont get,Null
end working,Null
everything perfect,Null
helpful 15,Null
hours hard,Null
los gatos,Null
lot room,Null
mind helpfu,Null
need work,Null
seriously diluted,Null
taking time,Null
things done,Null
two days,Null
week helpfu,Null
work get,Null
10 hour,Null
always high,Null
bad helpfu,Null
cons pros,Null
days go,Null
genius bar,Null
get need,Null
health helpfu,Null
keep helpful,Null
kool aid,Null
less work,Null
many cons,Null
may get,Null
might get,Null
minute late,Null
much less,Null
need take,Null
never know,Null
nothing wrong,Null
one minute,Null
pay helpfu,Null
requires lot,Null
roles helpfu,Null
ten minutes,Null
thinly veiled,Null
vp level,Null
weeks get,Null
whether retail,Null
working get,Null
years helpfu,Null
anytime might,Null
awesome helpfu,Null
back back,Null
back calls,Null
break time,Null
comes constant,Null
comes mind,Null
dont know,Null
even numbers,Null
fact remains,Null
fairly rapidly,Null
get let,Null
get people,Null
go work,Null
going different,Null
good enough,Null
great dont,Null
hours best,Null
hours much,Null
last minute,Null
level helpfu,Null
like human,Null
list long,Null
long fact,Null
long term,Null
many things,Null
matter good,Null
memo true,Null
metrics used,Null
might ur,Null
minute company,Null
need find,Null
number org,Null
numbers great,Null
peak seasons,Null
per day,Null
remains human,Null
rest company,Null
scope small,Null
shift helpfu,Null
sometimes work,Null
standing helpfu,Null
start ups,Null
steps day,Null
things helpfu,Null
think anything,Null
till last,Null
time get,Null
unbelievable number,Null
ur performance,Null
work times,Null
worth helpfu,Null
year helpful,Null
apple helpfu,Null
better believe,Null
canada helpfu,Null
could pay,Null
day day,Null
employee helpfu,Null
especially comes,Null
every second,Null
everyone knows,Null
evey time,Null
expected work,Null
get days,Null
getting time,Null
great part,Null
hard take,Null
high customer,Null
hour days,Null
keep following,Null
last months,Null
life outside,Null
like company,Null
like retail,Null
make changes,Null
mall open,Null
month two,Null
months feel,Null
much want,Null
nothing much,Null
nothing worth,Null
people like,Null
product team,Null
retail corporate,Null
retail helpfu,Null
say great,Null
team get,Null
things go,Null
time people,Null
workplace helpfu,Null
yeah helpfu,Null
10 hrs,Null
25 hours,Null
40 hours,Null
almost non,Null
big reason,Null
breaks long,Null
come back,Null
comes play,Null
cons list,Null
constant need,Null
due company,Null
employees get,Null
enough breaks,Null
every single,Null
everything great,Null
feedback like,Null
find way,Null
first months,Null
hard become,Null
hard feel,Null
helpful 17,Null
hours shift,Null
hours standing,Null
hours still,Null
join helpfu,Null
keep focusing,Null
little bit,Null
major cons,Null
mean helpfu,Null
means company,Null
mind helpful,Null
much really,Null
need ready,Null
never ending,Null
nights weekends,Null
none cons,Null
none time,Null
nothing see,Null
pay work,Null
people already,Null
people around,Null
people mean,Null
play helpfu,Null
projects helpfu,Null
really like,Null
regular often,Null
representative thank,Null
risk get,Null
salary good,Null
salary helpfu,Null
sales helpfu,Null
salt lake,Null
single day,Null
sometimes feels,Null
sometimes hard,Null
stand 10,Null
stand long,Null
support helpfu,Null
team let,Null
tell stories,Null
thanks contribution,Null
time around,Null
time new,Null
two years,Null
volume customers,Null
willing make,Null
wlb good,Null
work mall,Null
work might,Null
work never,Null
work want,Null
workers helpfu,Null
allow employees,Null
bad pay,Null
balance best,Null
benefits compensation,Null
benefits helpfu,Null
challenging helpfu,Null
comments comments,Null
company get,Null
company hard,Null
company need,Null
creative helpfu,Null
customers busy,Null
days helpfu,Null
direction helpfu,Null
everyone advice,Null
everything helpfu,Null
expectations helpfu,Null
fancy name,Null
feels pretty,Null
front entire,Null
generous severance,Null
get rid,Null
get sometimes,Null
getting large,Null
guaranty pnp,Null
hands tied,Null
hard learn,Null
hour earlier,Null
hours sometimes,Null
involved helpfu,Null
issues helpfu,Null
ladder helpfu,Null
like keep,Null
like ok,Null
like sales,Null
location helpfu,Null
low income,Null
many engineers,Null
matters life,Null
may good,Null
may required,Null
new skills,Null
often helpfu,Null
one day,Null
outside store,Null
pace work,Null
pay could,Null
pay poor,Null
people really,Null
pos pos,Null
pretending like,Null
pretty good,Null
projects get,Null
proposition thanks,Null
provide opportunities,Null
really helpfu,Null
repetitive advice,Null
required helpfu,Null
retail level,Null
review process,Null
sales matter,Null
sexual harassment,Null
shifts 10,Null
slow decision,Null
sound great,Null
sourcing team,Null
store expect,Null
store management,Null
structure helpfu,Null
take responsibility,Null
takes get,Null
thanks helpfu,Null
things get,Null
tho helpfu,Null
time already,Null
time even,Null
treat like,Null
upwards mobility,Null
us helpful,Null
vision helpfu,Null
watch employees,Null
work experience,Null
write review,Null
25000 steps,Null
30 minutes,Null
affects health,Null
almost every,Null
always changing,Null
back bone,Null
bad bad,Null
benefits keep,Null
bias advice,Null
big boys,Null
bit long,Null
boring work,Null
breaks feel,Null
business needs,Null
busy stressful,Null
company growing,Null
company trying,Null
completely different,Null
constantly busy,Null
contribution partner,Null
corporate side,Null
day walking,Null
days week,Null
decisions made,Null
demanding hours,Null
demanding managers,Null
different benefits,Null
different experience,Null
difficult helpfu,Null
done helpfu,Null
egg shells,Null
employee development,Null
especially working,Null
etc helpful,Null
even really,Null
even tell,Null
everything else,Null
expect take,Null
expect work,Null
experiences helpfu,Null
fear helpful,Null
felt like,Null
fired advice,Null
freedom helpfu,Null
get cancelled,Null
get injured,Null
get stressful,Null
gets done,Null
go every,Null
hard long,Null
hide behind,Null
higher position,Null
holidays helpfu,Null
holidays work,Null
hour helpfu,Null
hours breaks,Null
hours hours,Null
hours less,Null
hours repetitive,Null
hours solve,Null
hours working,Null
however management,Null
impostor syndrome,Null
incompetent management,Null
inconsistent schedule,Null
injured helpfu,Null
intense helpfu,Null
internal employees,Null
issues company,Null
keep culture,Null
keep great,Null
keep increasing,Null
keep investing,Null
lack work,Null
large companies,Null
less benefits,Null
level roles,Null
like worst,Null
little opportunity,Null
live culture,Null
lots change,Null
make things,Null
management allow,Null
management amazing,Null
management better,Null
management diversity,Null
management hard,Null
management hire,Null
management remember,Null
managers directors,Null
many meetings,Null
many think,Null
media helpfu,Null
meetings writing,Null
months row,Null
move company,Null
must join,Null
new managers,Null
nothing everything,Null
nothing mention,Null
office culture,Null
often told,Null
overwhelming advice,Null
people maybe,Null
people stay,Null
performing well,Null
perks helpfu,Null
political company,Null
political management,Null
position helpfu,Null
practices helpful,Null
pressure sales,Null
problem solver,Null
promoting people,Null
quite hard,Null
really matters,Null
ridiculously high,Null
sales target,Null
satisfaction helpfu,Null
set boundaries,Null
set clear,Null
shift work,Null
size company,Null
slow helpfu,Null
small helpfu,Null
smart people,Null
sometimes gets,Null
sometimes long,Null
staff management,Null
stop treating,Null
stressful environment,Null
take account,Null
take company,Null
team culture,Null
team make,Null
tedious helpfu,Null
terrible work,Null
thing every,Null
think moment,Null
tight deadlines,Null
time specialist,Null
tolerating brilliant,Null
toronto vancouver,Null
treat people,Null
us centric,Null
vacation helpfu,Null
walking 25000,Null
walking egg,Null
want get,Null
way get,Null
way many,Null
week helpful,Null
work done,Null
work everyone,Null
work full,Null
work people,Null
work politics,Null
work teams,Null
worked helpfu,Null
working one,Null
workload helpfu,Null
worth mentioning,Null
would helpful,Null
would recommend,Null
writing docs,Null
years experience,Null
10 12,Null
100 conform,Null
11 hour,Null
15 18,Null
18 people,Null
20 engineers,Null
24 able,Null
24 coverage,Null
ability make,Null
able adapt,Null
able deliver,Null
abrupt last,Null
abuse stability,Null
accommodation forms,Null
accustomed handling,Null
acting om,Null
action feels,Null
action plan,Null
actions taken,Null
actively promote,Null
actual valid,Null
actually following,Null
actually really,Null
adapt quickly,Null
adaption culture,Null
address causes,Null
advance career,Null
advance helpfu,Null
advancement opportunity,Null
advantage freedom,Null
afford helpfu,Null
agenda work,Null
agents actual,Null
aggressive management,Null
aka dead,Null
allow women,Null
allows employers,Null
alot racial,Null
alot upper,Null
alot white,Null
also announced,Null
also big,Null
also term,Null
also worked,Null
always favourite,Null
always keep,Null
always tell,Null
amazing company,Null
amazing customer,Null
analyzed information,Null
announced plans,Null
answer poc,Null
anticipate emergency,Null
anything business,Null
anything sit,Null
anything writing,Null
anytime work,Null
application process,Null
appreciate surrounded,Null
approved wfm,Null
around alot,Null
around approved,Null
around creating,Null
ask us,Null
assistant department,Null
attract new,Null
average engineers,Null
average excellent,Null
average handle,Null
average rate,Null
avoid looking,Null
away flexibility,Null
backslide due,Null
bad food,Null
bad press,Null
balance deceptive,Null
balance much,Null
balance pace,Null
bar allow,Null
base decisions,Null
based environment,Null
based seriousness,Null
basically code,Null
bathroom literally,Null
bathroom use,Null
become manager,Null
becoming bigger,Null
begun backslide,Null
behind cloud,Null
benefits also,Null
benefits done,Null
benefits given,Null
benefits hourly,Null
best could,Null
best interest,Null
better expect,Null
better work,Null
bids held,Null
big companies,Null
big deal,Null
big idea,Null
bigger times,Null
black urban,Null
bloated talent,Null
boring routine,Null
break get,Null
breaks helpfu,Null
breaks lunches,Null
breaks please,Null
broadly discussed,Null
bully culture,Null
bullying create,Null
business change,Null
busy place,Null
call took,Null
calling calling,Null
calling people,Null
calls heavy,Null
candor get,Null
cannot improve,Null
care advice,Null
cascaded time,Null
causes toxic,Null
center provider,Null
centered around,Null
centers law,Null
certain privileges,Null
challenges helpfu,Null
challenging work,Null
change advice,Null
change fatigue,Null
change frequently,Null
change quickly,Null
change related,Null
change tier,Null
change time,Null
changes culture,Null
changes every,Null
changes within,Null
changing bit,Null
chaos layoffs,Null
childish helpful,Null
churn pay,Null
churn rate,Null
clearer sort,Null
clients upload,Null
cloud tech,Null
coaching joke,Null
code monkey,Null
comes growth,Null
comes work,Null
comment moral,Null
comp excellent,Null
companies place,Null
company alot,Null
company disclose,Null
company size,Null
competition culture,Null
competitive cut,Null
competitive environtment,Null
compliment utah,Null
compromised helpfu,Null
con also,Null
con take,Null
concrete actions,Null
conditions helpfu,Null
conform values,Null
cons company,Null
cons honestly,Null
consider others,Null
constant direct,Null
constant pivoting,Null
constantly discuss,Null
contact rate,Null
content get,Null
contract extended,Null
contracted employees,Null
contributors grow,Null
cost benefits,Null
could difficult,Null
could flexible,Null
could heavy,Null
could let,Null
could simple,Null
course action,Null
cover great,Null
coverage shifts,Null
crazy helpfu,Null
crazy schedules,Null
crazy shifts,Null
create safe,Null
creating chaos,Null
cult times,Null
cultural values,Null
culture big,Null
culture constantly,Null
culture differences,Null
culture political,Null
culture prior,Null
culture shock,Null
culture tech,Null
culture used,Null
culture worst,Null
current plan,Null
currently stats,Null
customer experience,Null
customers difficult,Null
customers helpful,Null
customers understand,Null
cut fast,Null
data worked,Null
day advice,Null
day find,Null
days tho,Null
dead end,Null
dead weight,Null
deal helpfu,Null
deal part,Null
deceptive passive,Null
decisions emotions,Null
decisions instead,Null
deeper major,Null
demanding hard,Null
demanding long,Null
demo huge,Null
demotivating things,Null
density getting,Null
department interest,Null
departments easy,Null
depending problem,Null
depending supervisor,Null
depending team,Null
detriment efficiency,Null
differences la,Null
differently okay,Null
difficult always,Null
difficult employees,Null
difficult kinda,Null
diluted comp,Null
direct honesty,Null
direction first,Null
disagree hr,Null
disclose enough,Null
discuss using,Null
discussed room,Null
diversity work,Null
documentation graded,Null
done good,Null
done something,Null
done way,Null
dont like,Null
earlier year,Null
early often,Null
earning money,Null
easy attract,Null
effective leadership,Null
efficiency impact,Null
effort cross,Null
either like,Null
else actually,Null
else join,Null
embraces company,Null
emergency 24,Null
emergency emergency,Null
emergency hours,Null
emotional mess,Null
emotions instead,Null
empathy understanding,Null
employees base,Null
employees call,Null
employees compromised,Null
employees contracted,Null
employees earlier,Null
employees improve,Null
employees intelligent,Null
employees stop,Null
employees take,Null
employers abuse,Null
employs helpful,Null
end growth,Null
energy time,Null
eng leaders,Null
engineer much,Null
engineers average,Null
engineers career,Null
engineers hr,Null
english means,Null
enough shows,Null
enough supervisor,Null
environment based,Null
environment culture,Null
environtment helpful,Null
even disagree,Null
even good,Null
even happy,Null
every call,Null
every way,Null
everyday style,Null
everyone embraces,Null
everyone mislead,Null
everyone needs,Null
everyone performing,Null
everyone replaceable,Null
everything changes,Null
exacerbated incompetent,Null
exceeding expectations,Null
excellent average,Null
excellent engineers,Null
excellent helpfu,Null
exceptional work,Null
execs leaves,Null
expect people,Null
expect pto,Null
expect put,Null
expectations still,Null
experience could,Null
experience topic,Null
extended meetings,Null
extremely understaffed,Null
eyes taking,Null
facing clients,Null
fail well,Null
fake one,Null
far everything,Null
fatigue everyone,Null
favourite management,Null
favourites helpfu,Null
favourites hr,Null
fear bully,Null
fear difficult,Null
fear exacerbated,Null
fear get,Null
feedback depending,Null
feedback empathy,Null
feedback oriented,Null
feedback play,Null
fill hr,Null
final year,Null
find contacts,Null
find meaningful,Null
find something,Null
find time,Null
fire hence,Null
fire never,Null
fired anytime,Null
fired providing,Null
first year,Null
fives times,Null
fix problem,Null
flexibility agents,Null
flexible schedule,Null
focus team,Null
focus upholding,Null
follow opinion,Null
following current,Null
food overly,Null
forever everyone,Null
formal mentorship,Null
formalized qa,Null
forms certain,Null
free time,Null
freedom part,Null
frequent abrupt,Null
frequently constant,Null
frequently management,Null
fun always,Null
functional work,Null
funded startup,Null
get cascaded,Null
get severance,Null
get stuck,Null
gets fired,Null
gets tossed,Null
getting seriously,Null
give advice,Null
give tools,Null
given government,Null
gives heads,Null
go forever,Null
go meaning,Null
go place,Null
going helpfu,Null
good follow,Null
good life,Null
good part,Null
good reason,Null
good thing,Null
gossiping favourites,Null
government vacations,Null
graded currently,Null
great direction,Null
great expect,Null
great idea,Null
great keep,Null
great underperform,Null
grow cut,Null
grow helpful,Null
grow manager,Null
growth helpful,Null
growth high,Null
growth potential,Null
growth within,Null
guidance freedom,Null
half however,Null
handle time,Null
handling employees,Null
handling kind,Null
happy job,Null
hard climb,Null
hard play,Null
hardly benefits,Null
heads anything,Null
health issues,Null
heard instances,Null
heard result,Null
heart soul,Null
heavy con,Null
heavy hours,Null
heavy volume,Null
held every,Null
help calls,Null
help individual,Null
help us,Null
helpful 14,Null
hence lot,Null
high focus,Null
high quality,Null
high wages,Null
higher average,Null
higher execs,Null
hinderance ability,Null
hired managements,Null
hiring managers,Null
holiday hours,Null
honestly great,Null
honesty also,Null
hours coaching,Null
hours cover,Null
hours crazy,Null
hours insane,Null
hours like,Null
hours manager,Null
hours overtime,Null
hours priorities,Null
hours stressful,Null
hours wack,Null
however things,Null
hr accommodation,Null
hr always,Null
hr competitive,Null
hr everyone,Null
hr present,Null
hr work,Null
huge pressure,Null
huge problem,Null
ic want,Null
idea actually,Null
idea let,Null
idea throw,Null
ideal working,Null
ideas action,Null
impact focus,Null
impending deadlines,Null
implementing feedback,Null
improve cannot,Null
improve invested,Null
including one,Null
incompetent leadership,Null
incredibly childish,Null
individual merit,Null
influencing management,Null
information leadership,Null
information provided,Null
insane hardly,Null
instances management,Null
instead performance,Null
instead relying,Null
insurmountable workload,Null
interest aka,Null
interested next,Null
interesting work,Null
internal tools,Null
interviewed women,Null
invested much,Null
issues analyzed,Null
job anymore,Null
job say,Null
jobs silicon,Null
joke literally,Null
judgement even,Null
judgement good,Null
judgement really,Null
keep appreciate,Null
keep dead,Null
keep giving,Null
keep hiring,Null
keep quality,Null
keeping production,Null
kind constant,Null
kinda fear,Null
kms day,Null
know problems,Null
la lg,Null
lack effective,Null
lack variety,Null
ladder depending,Null
lake office,Null
law allows,Null
layoffs regular,Null
lead change,Null
leaders anything,Null
leaders long,Null
leadership acting,Null
leadership get,Null
leadership helpfu,Null
leadership hinderance,Null
leaves mark,Null
less ideal,Null
let write,Null
level managers,Null
lg offices,Null
like dog,Null
like job,Null
like play,Null
like tech,Null
like wanted,Null
like way,Null
like working,Null
limited help,Null
list helpfu,Null
listen every,Null
literally fill,Null
literally sups,Null
little growth,Null
little managerial,Null
long roles,Null
long standing,Null
looking problem,Null
losing culture,Null
lot big,Null
lot changes,Null
lot stress,Null
love apple,Null
loves recommends,Null
low cost,Null
low wage,Null
lower bar,Null
lunches moved,Null
major problem,Null
make everyone,Null
make necessary,Null
make work,Null
makes comment,Null
makes easy,Null
manage people,Null
management ask,Null
management communication,Null
management creative,Null
management decisions,Null
management everyone,Null
management gives,Null
management interested,Null
management meaning,Null
management needs,Null
management point,Null
management pretty,Null
management relates,Null
management rolling,Null
management show,Null
management special,Null
management told,Null
management unhelpful,Null
management watch,Null
managements role,Null
manager prefers,Null
managerial guidance,Null
managers please,Null
managers possible,Null
many culture,Null
many opportunities,Null
many upper,Null
mark office,Null
maternity paternity,Null
matter comes,Null
mature people,Null
meaning extremely,Null
meaning idea,Null
meaningful con,Null
means make,Null
meet many,Null
meeting course,Null
meeting heavy,Null
meetings go,Null
memo shrine,Null
merit qualifications,Null
mess incredibly,Null
might hard,Null
might prevent,Null
mislead culture,Null
miss old,Null
mistake twice,Null
money helpfu,Null
money possible,Null
money switching,Null
monitor including,Null
monkey helpful,Null
months helpfu,Null
months sure,Null
months termed,Null
moral never,Null
motto used,Null
move break,Null
move departments,Null
moved around,Null
moving great,Null
much cons,Null
much growth,Null
much hard,Null
much money,Null
much netflix,Null
much say,Null
much time,Null
much trying,Null
mysteriously large,Null
name calling,Null
necessary changes,Null
need 24,Null
need reason,Null
need training,Null
needs address,Null
needs helpful,Null
needs provide,Null
needs say,Null
negative experience,Null
netflix good,Null
never compliment,Null
new everyday,Null
next big,Null
next supervisor,Null
next time,Null
none great,Null
nothing miss,Null
nothing share,Null
numbers adaption,Null
numbers matters,Null
office moving,Null
office work,Null
often could,Null
often without,Null
okay policy,Null
old days,Null
om clearer,Null
one another,Null
one demotivating,Null
one gets,Null
one supervisor,Null
one wants,Null
ones prepared,Null
open work,Null
opinion good,Null
opportunities tl,Null
opportunities within,Null
order push,Null
oriented tell,Null
outside earning,Null
overly specialized,Null
overnights shift,Null
overwhelming helpful,Null
paced demanding,Null
paced learn,Null
part big,Null
part company,Null
part freedom,Null
part really,Null
particular sort,Null
path ic,Null
pay high,Null
pay level,Null
pay lower,Null
peer pressure,Null
peers often,Null
people accustomed,Null
people advice,Null
people chance,Null
people dont,Null
people emotional,Null
people frequently,Null
people great,Null
people one,Null
people situations,Null
people try,Null
people without,Null
per hour,Null
performance place,Null
performance pressure,Null
performing best,Null
personal morale,Null
perspective change,Null
pivoting lead,Null
place call,Null
place ideas,Null
place people,Null
plain english,Null
plan question,Null
plans change,Null
play office,Null
play performance,Null
play work,Null
please even,Null
please helpfu,Null
poc urban,Null
point view,Null
policy fail,Null
political poor,Null
politics hierarchy,Null
politics meet,Null
positions lack,Null
positive enough,Null
possible numbers,Null
possible try,Null
potential outside,Null
potentially less,Null
practices interviewed,Null
prefers indians,Null
prepared meeting,Null
prepared produce,Null
present heard,Null
pressure fear,Null
pressure high,Null
pressure little,Null
prevent working,Null
prior work,Null
priorities change,Null
privileges bathroom,Null
pro le,Null
probation fired,Null
problem deeper,Null
problem space,Null
problems facing,Null
problems suppose,Null
process one,Null
produce exceptional,Null
products helpfu,Null
program help,Null
project work,Null
promote develop,Null
promotion advice,Null
promotions helpfu,Null
provide excellent,Null
provide low,Null
provided solutions,Null
provider advice,Null
providing amazing,Null
pto 24,Null
push political,Null
put probation,Null
qa process,Null
quality employees,Null
question sups,Null
quickly able,Null
quickly fire,Null
racial resentment,Null
rate churn,Null
rate exceeding,Null
rate keep,Null
real memo,Null
really fake,Null
really fast,Null
really sell,Null
really struggling,Null
really want,Null
reason fire,Null
reason people,Null
reason something,Null
reasons might,Null
recommends get,Null
reduce churn,Null
