date,employee_title,location,employee_status,review_title,helpful,pros,cons,advice_to_mgmt,rating_overall,rating_balance,rating_culture,rating_career,rating_comp,rating_mgmt,recommends,positive_outlook,approves_of_CEO
Mon Jan 25 2021, Technical Specialist,"Edmonton, AB",Former Employee ,Awesome Workplace and Culture,0,#NAME?,#NAME?,,5,4,5,5,5,5,,,
Mon Feb 08 2021, Project Management Information Systems (Pmis),"Montreal, QC",Current Employee ,Technical specialist,0,"Good pay Steady hours Flexible schedule Good benefits Safe space
","Really hard to take vacations
",,4,3,3,4,4,4,Recommends,Positive Outlook,No Opinion of CEO
Mon Jan 25 2021, Genius Bar Technician,,Former Employee ,"great management/leadership, communication",0,"Very fun place. they hire awesome people so you will always have a good time with your coworkers even if you have a bad day
","hours are pretty demanding. favouritism is real
",,5,,,,,,Recommends,,
Mon Jan 25 2021, Technician,"Toronto, ON",Current Employee ,Great company to work for,0,"Great company to work for or have a career with. Apple also utilizes a feedback system internally that works wonders
","No major disadvantages that other workplaces experience.
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Data Scientist,"Toronto, ON",Current Employee ,lol,0,"amazing office and environment and food
","salary pay per annum and hour
",,5,5,5,5,5,4,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Specialist,"Toronto, ON",Current Employee ,Good Benefits,0,"Benefits, Worklife Balance, Good Pay
","Dealing with Ambiguity, Fast Paced
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Fri Jan 22 2021,Anonymous,,Former Employee ,Good,0,"Good working hours everyday, 9 to 5
","Same working hours, not much of a challenge
Helpfu",,5,,,,,,,,
Fri Jan 22 2021,Anonymous,N/A,Former Employee ,Great company and benefits,0,"Benefits for part time associates
","Short hours for part timers
Helpfu",,5,3,5,5,5,4,Recommends,,Approves of CEO
Wed Jan 20 2021, Apple Genius,"Chinook Cove, BC",Former Employee ,Woo,0,"Great people, fulfilling job and work
","Hours could be a bit long or tedious
Helpfu",,5,4,5,5,5,5,,,
Mon Feb 08 2021, Project Management Information Systems (Pmis),"Montreal, QC",Current Employee ,Technical specialist,0,"Good pay
Steady hours
Flexible schedule
Good benefits
Safe space
","Really hard to take vacations
Helpfu",,4,3,3,4,4,4,Recommends,Positive Outlook,No Opinion of CEO
Mon Jan 25 2021, Genius Bar Technician,,Former Employee ,"great management/leadership, communication",0,"Very fun place. they hire awesome people so you will always have a good time with your coworkers even if you have a bad day
","hours are pretty demanding. favouritism is real
Helpfu",,5,,,,,,Recommends,,
Mon Jan 25 2021, Technician,"Toronto, ON",Current Employee ,Great company to work for,0,"Great company to work for or have a career with. Apple also utilizes a feedback system internally that works wonders
","No major disadvantages that other workplaces experience.
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Jan 23 2021, Data Scientist,"Toronto, ON",Current Employee ,lol,0,"amazing office and environment and food
","salary pay per annum and hour
Advice to Management
nice
Helpfu","nice
Helpfu",5,5,5,5,5,4,Recommends,Positive Outlook,Approves of CEO
Sun Jan 24 2021, Specialist,"Toronto, ON",Current Employee ,Good Benefits,0,"Benefits, Worklife Balance, Good Pay
","Dealing with Ambiguity, Fast Paced
Advice to Management
More communication between different parts of the business
Helpfu","More communication between different parts of the business
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Jan 20 2021, Specialist,"Calgary, AB",Current Employee ,Good company,0,"Nice coworkers, nice benefits, a large career pool
","Fast paced, frequent escalations, customer service
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Jan 21 2021, Sales Associate,N/A,Former Employee ,Really fun,0,"Really fun to work at
","None at all it was great
Helpfu",,5,5,5,5,5,5,,,
Tue Jan 19 2021, Mac Specialist (Apple Store),"Toronto, ON",Former Employee ,fantastic company,0,"we provide help and support to any of your problems
","We would never let you down
Helpfu",,5,5,5,4,5,4,Recommends,Positive Outlook,Approves of CEO
Tue Feb 02 2021, Genius Administrator,"Ottawa, ON",Former Employee ,Great company with incredible benefits and growth resources,0,"Strong company culture and great benefits for a part time retail position
","Limited growth opportunities within the retail sector
Helpfu",,4,,,,,,,,
Mon Feb 01 2021, IT Technician,"Vancouver, BC",Former Employee ,good,0,"Very fun place to work with great people
","Looks appealing but requires a lot of work
Helpfu",,3,,,,,,,,
Sun Jan 17 2021, Specialist,"Toronto, ON",Current Employee ,"Great Company, Great Culture",0,"People, development, culture and products
","Moving up can be tough.
Helpfu",,5,5,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
Mon Feb 01 2021, Apple Certified Mac Technician,,Former Employee ,Meh,0,"Good Pay. Lasting Friendships. Some good managers.
","Hours are terrible, constantly battling to get some day shifts. I had a love/hate with that place. They also implemented a process for interviews in attempts to make things more fair for everyone, it dismisses all the hard work people do in favor for who interviews best.
Advice to Management
Listen to your employees instead of constantly saying "" what could you have done differently"". The expectations for genius bar are unrealistic. You're expected to do multiple things in a strict time limit of 10 minutes.
Helpfu","Listen to your employees instead of constantly saying "" what could you have done differently"". The expectations for genius bar are unrealistic. You're expected to do multiple things in a strict time limit of 10 minutes.
Helpfu",2,1,2,3,2,4,Doesn't Recommend,Neutral Outlook,
Mon Feb 01 2021, Apple Retail Specialist,"Toronto, ON",Current Employee ,Much more glamorous from the outside,0,"Great benefits, medical, dental, stock purchase plan and discount and great starting wage for a retail position
","they pretend to care so much about their people, their customers, their planet, etc. it is all fraudulent from the top down lol. tax breaks, stock prices
",,2,1,2,2,2,5,Recommends,Neutral Outlook,No Opinion of CEO
Thu Jan 28 2021, Sales Associate/Cashier,"Vancouver, BC",Current Employee ,Great place to work,0,"Team work and healthy competition
","exhausting hours and long shifts
Helpfu",,4,3,3,3,3,3,Recommends,Positive Outlook,Approves of CEO
Thu Jan 14 2021, Sales Associate,,Former Employee ,Great,0,"Great pay and thorough training
","Busy and high stress at times
Helpfu",,5,,,,,,,,
Wed Jan 27 2021, Senior Software Engineer,"Ottawa, ON",Former Employee ,Its Good,0,"You make a lot of money working little hours
","you have to crunch a lot for projects
Helpfu",,3,5,5,5,5,2,Recommends,Positive Outlook,Approves of CEO
Tue Jan 12 2021, Data Analyst,"Vancouver, BC",Current Employee ,Go for it,0,"Apple has great benefits for students even as a part-time employee

Nice place to work great people around you
","Working retail hours can be a drag
Helpfu",,5,2,5,5,4,5,Recommends,Neutral Outlook,No Opinion of CEO
Wed Jan 13 2021, FRS,"Montreal, QC",Former Employee ,Great Student Job,0,"Was a great company in general, treated their employees well and managers were also nice. I worked in the downtown office and they even offered perks like year round parking to part time employees (not cheap downtown mtl).
","Not all that much room to move up within the company if entering retail segment of the company
",,5,4,5,5,1,4,Recommends,Positive Outlook,Approves of CEO
Tue Jan 26 2021, Lead Genius,"Toronto, ON",Current Employee ,Good place to work,0,#NAME?,#NAME?,,3,1,4,4,4,5,Recommends,Positive Outlook,Approves of CEO
Mon Jan 11 2021, Technical Support,"Calgary, AB",Current Employee ,Great place to work,0,"Team environment, great perks, great training
","Hard to move up to higher position.
Helpfu",,5,,,,,,,,
Mon Jan 11 2021, Technical Specialist,"Ottawa, ON",Former Employee ,Room for Growth,0,"Great benefits, pay and growth.
","Retail hours and the usual aspect of customer service/retail.
Helpfu",,5,,,,,,,,
Mon Jan 25 2021, Apple Technical Specialist,"Vancouver, BC",Current Employee ,Average,0,"Okay money for the role Good work environment Stock Benefits Good coworkers
","Hard to get full time Very competitive
",,4,,,,,,,,
Tue Jan 19 2021, Specialist,"Toronto, ON",Former Employee ,Great,0,"Lots of growth and movement
","Huge company you can feel really small
Helpfu",,4,3,5,4,5,5,Recommends,Neutral Outlook,Approves of CEO
Wed Jan 20 2021, Manager,N/A,Former Employee ,Great company,0,"Here are the pros: Salary, colleagues, benefits.
","Here are the cons: time off, vacation, pace, work-life balance.
Helpfu",,4,1,5,5,3,5,Recommends,Positive Outlook,
Tue Jan 05 2021, Solutions Consultant,,Current Employee ,so far so good!,0,,"ltant 
Recommends
Positive Outlook
Approves of CEO
I have been working at Apple full-time
Pros
Slackers rarely are kept around, strong and collaborative teams.
Cons
Long hours around New product launches or key selling seasons
Helpfu",,5,5,5,,,,Recommends,Positive Outlook,Approves of CEO
Mon Jan 25 2021, Apple Technical Specialist,"Vancouver, BC",Current Employee ,Average,0,"Okay money for the role
Good work environment
Stock
Benefits
Good coworkers
","Hard to get full time
Very competitive
Helpfu",,4,,,,,,,,
Mon Jan 18 2021, BOH Specialist,"Edmonton, AB",Current Employee ,Stagnant,0,"Great benefits such as disability leave
","Stagnant environment. Almost zero upward movement.
Helpfu",,3,2,3,3,1,5,Recommends,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Phone Operator,"Waterloo, ON",Former Employee ,Y,0,"Good workplace experience. Has a good environment.
","Could pay more, less stretched on hours
Advice to Management
.
Helpfu",".
Helpfu",4,4,3,4,3,4,Doesn't Recommend,Positive Outlook,Approves of CEO
Fri Jan 15 2021, Senior Technical Expert,"Calgary, AB",Former Employee ,Okay job,0,"Good pay, good people, good vibes
","Bad management, incompetent management, selfish management
Helpfu",,3,1,4,4,3,2,Doesn't Recommend,Neutral Outlook,No Opinion of CEO
Thu Jan 14 2021,Anonymous,"Edmonton, AB",Current Employee ,Great Culture,0,"Great People Great culture Experiences available if you work for them
","Hard to move if you’re not actively searching for new roles.
",,4,3,5,5,3,5,Recommends,Positive Outlook,Approves of CEO
Tue Jan 12 2021, Technical Specialist,"Brossard, QC",Current Employee ,Technical Specialist,0,"Good advantage and a good student job
","Bad schedule, very hard for advancement opportunity
Helpfu",,4,2,3,4,3,5,Recommends,Neutral Outlook,Approves of CEO
Tue Jan 12 2021, Genius Administrator,"Toronto, ON",Former Employee ,GA,0,"development, wage, benefit and learning opporuntities
","tomb palce, politics, favouritism, no hierarchial movement for a while
Helpfu",,4,,,,,,,,
Tue Jan 12 2021, Product Specialist,,Former Employee ,Great part time role,0,"Great benefits, good pay, flexible work, constant change, arguably the best job to have as a student
","Leadership can be extremely biased for moving upwards within retail or within the company. Hours can be long and busy depending on location
",,4,4,3,3,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Jan 09 2021, Software Engineer,"Toronto, ON",Current Employee ,good,0,"Good compensation, Forefront of tech
progressive
","cutthroat. not much to complain about otherwise
Helpfu",,4,,,,,,,,
Fri Dec 25 2020, Specialist,N/A,Former Employee ,Fun Culture,0,"Great health benefits and perks
","Retail hours no work life balance
Helpfu",,5,,,,,,,,
Tue Jan 12 2021, Product Specialist,,Former Employee ,Great part time role,0,"Great benefits, good pay, flexible work, constant change, arguably the best job to have as a student
","Leadership can be extremely biased for moving upwards within retail or within the company. Hours can be long and busy depending on location
Helpfu",,4,4,3,3,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Dec 23 2020, Operations Specialist,"Vancouver, BC",Former Employee ,This is as good as a retail job can be,0,"Great workplace and people. 
Company really care abou employees and take good care of them.
","Retail hours.
Products are so expensive that even with the discounts they are still too expensive for employees.
Helpfu",,5,4,5,5,4,4,Recommends,Positive Outlook,Approves of CEO
Thu Jan 07 2021, Associate,,Former Employee ,Great company,0,"Apple is a Great company. Challenging.
","Work-life balance could be improved.
Helpfu",,4,,,,,,,,
Mon Dec 21 2020, Expert,"Montreal, QC",Current Employee ,Great place to work,0,"great wages teamwork great values great benefits always busy
",#NAME?,,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Mon Jan 04 2021, Sales Expert,"Toronto, ON",Current Employee ,Apple,0,"Great team, awesome benefits good compensation
","Messaging not consistent through company
Helpfu",,4,4,4,5,3,4,Recommends,Positive Outlook,Approves of CEO
Sat Dec 19 2020, Specialist,,Current Employee ,Specialist,0,"Love Working for apple so much
","Nothing is wrong working at apple
Helpfu",,5,5,5,,,,,,
Sun Dec 27 2020, Expert,"Edmonton, AB",Former Employee ,"Can be a good gig, but too secretive with salaries",0,"Great benefits, positive work environment, supportive leaders
","secretive salaries, people can be taken advantage of
",,3,4,5,5,3,3,Recommends,Neutral Outlook,No Opinion of CEO
Wed Jan 13 2021, Sales Associate,,Current Employee ,Good job for a while,0,"Very good hours work life balance
","No upwards mobility, non impactful work
Helpfu",,1,,,,,,,,
Mon Dec 21 2020, Retail Sales Representative,,Former Employee ,Happy,0,"Nice coworkers, happy to have worked there
","Would like better pay, customers come feeling entitled
Helpfu",,4,5,5,5,4,3,Recommends,Neutral Outlook,No Opinion of CEO
Mon Dec 07 2020, Specialist,"Vancouver, BC",Former Employee ,Great place,0,"Best place to work for
","None there aren’t any cons
Helpfu",,5,,,,,,,,
Wed Dec 16 2020, Technical Specialist,,Current Employee ,Good company!,0,"Well planned training on role
","Less career paths to grow in to Corporate roles
Helpfu",,3,,,,,,,,
Sun Dec 27 2020, Expert,"Edmonton, AB",Former Employee ,"Can be a good gig, but too secretive with salaries",0,"Great benefits, positive work environment, supportive leaders
","secretive salaries, people can be taken advantage of
Advice to Management
Have a 3rd party auditor for individuals to assess they're contribution, experience, and education. This will ensure fair pay practices especially within gender gaps.
Helpfu","Have a 3rd party auditor for individuals to assess they're contribution, experience, and education. This will ensure fair pay practices especially within gender gaps.
Helpfu",3,4,5,5,3,3,Recommends,Neutral Outlook,No Opinion of CEO
Mon Nov 30 2020, Specialist,"Ottawa, ON",Former Employee ,Sales,0,"Fun and environment and good people.
","No commission but good pay and people.
Helpfu",,5,5,5,5,5,4,,,
Wed Jan 06 2021, Apple Retail Specialist,"Toronto, ON",Former Employee ,Cultish?,0,"Lots of daily perks, food, discounts, etc
","False sense of desire for feedback
Helpfu",,1,,,,,,,,
Wed Dec 09 2020, Tech Support,"Burnaby, BC",Former Employee ,None,0,"Pay was so so for retail
","Hours are the worst, holidays you will work
Helpfu",,4,,,,,,,,
Sat Dec 05 2020, Lead,"Montreal, QC",Former Employee ,Lack of diversity,0,"Fair compensation, good benefits and corporate level training is efficient.
","Poor work/life balance, heavily political, less opportunity for women and BIPOC
Advice to Management
diversity in leadership leads to diversity in opportunities.
Helpfu","diversity in leadership leads to diversity in opportunities.
Helpfu",3,,,,,,,,
Thu Nov 19 2020, Genius,,Current Employee ,Amazing,0,"Great place to work at if you know how to move ahead by learning the internal development
","Non that I can think of
Helpfu",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Dec 02 2020, Mailman,"Oshawa, ON",Former Employee ,Great.okay plce,0,"great place, recommend, top notch, I would do that
","OKAAAAAAY GREAT LETS DO THIS HATE IT SOMETIMES THO
Helpfu",,4,1,1,1,1,1,Doesn't Recommend,Negative Outlook,Approves of CEO
Thu Nov 26 2020, Engineering Manager,"Vancouver, BC",Former Employee ,Good pay. Lots of hours,0,"Smart, but arrogant people. Interesting projects
","Quite disorganized. Very long uncompensated hours
Helpfu",,3,1,1,3,4,1,Doesn't Recommend,Positive Outlook,
Tue Nov 24 2020, Expert,"Toronto, ON",Current Employee ,Green Apples,0,"People, culture and the part time flexibility
","Discounts are sub par, and management needs to change
Helpfu",,3,,,,,,,,
Tue Nov 10 2020, Creative Pro,"Waterloo, ON",Current Employee ,my job,0,"I work for Apple Inc
","Permanent work from home roles not offered in Canada.
Helpfu",,5,,,,,,,,
Sat Nov 07 2020, Mac Specialist (Apple Store),"Toronto, ON",Current Employee ,Good,0,"They are a new technology 
They are just far away of a normal person’s thinking
","Very expensive merchandise and products like 📲
Advice to Management
Nothing
Helpfu","Nothing
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,
Thu Nov 05 2020, Specialist,N/A,Former Employee ,great place,0,"good pay and benefits even for part time
","favouritism at times with management
Helpfu",,5,,,,,,,,
Wed Nov 04 2020, Apple Genius,"Vancouver, BC",Current Employee ,Great,0,"Great place to work and build skills. Pay is good.
","Sometimes work/life balance is not focused on enough
Helpfu",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Nov 17 2020, Technical Specialist,"London, ON",Former Employee ,Technical Specialist,0,"Culture, great people to work with. Great if you want to continue working in retail environments. Paid vacation and benefits for part-time employees even. Very inclusive.
","Repetitive. Lack of transparency. There is little room for real career growth.
",,3,4,3,5,2,4,Disapproves of CEO,,
Sun Nov 01 2020, Genius,"Vancouver, BC",Current Employee ,Great place to work,0,"The environment, leadership, and the potential growth and career advancement that you can get is real.
","Sometimes the structure that is brought down from management from higher than retail (i.e., corporate) is something that is rigid and can't be changed easily without mass numbers of feedback from the numerous employees that have the same thought
",,5,,,,,,,,
Sat Oct 31 2020, Specialist,"Laval, QC",Current Employee ,"Love this job - Perfect for students, even after you graduate",0,"Great team, Great benefits, Focused on personal development, If you like the work you do there is lots of room for internal opportunities.
","have to work Weekends/ evenings
",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Nov 14 2020, Sales Associate,"Calgary, AB",Former Employee ,great place to work,0,"work life balance and great for students
","Not much career opportunities and pay not that good
Helpfu",,3,3,2,2,2,3,Recommends,Neutral Outlook,
Sat Oct 31 2020, Technical Specialist,"Laval, QC",Current Employee ,Great employer,0,"Super flexible and great place to work with great pay
","have to work evenings and weekends
",,5,5,5,5,3,4,Recommends,Positive Outlook,
Tue Nov 10 2020, Sale Associate,"Calgary, AB",Former Employee ,Good,0,"Good place to work love it
","Good place to work.sales are hard
Helpfu",,3,,,,,,,,
Sun Nov 01 2020, Janitor,,Former Employee ,Good,0,"Good benefits overall for me
","A lot of work for me
Helpfu",,3,3,3,3,3,3,Recommends,Neutral Outlook,No Opinion of CEO
Sun Nov 01 2020, Genius,"Vancouver, BC",Current Employee ,Great place to work,0,"The environment, leadership, and the potential growth and career advancement that you can get is real.
","Sometimes the structure that is brought down from management from higher than retail (i.e., corporate) is something that is rigid and can't be changed easily without mass numbers of feedback from the numerous employees that have the same thought
Helpfu",,5,,,,,,,,
Sat Oct 31 2020, Specialist,"Laval, QC",Current Employee ,"Love this job - Perfect for students, even after you graduate",0,"Great team, Great benefits, Focused on personal development, If you like the work you do there is lots of room for internal opportunities.
","have to work Weekends/ evenings
Advice to Management
Keep doing what you're doing
Helpfu","Keep doing what you're doing
Helpfu",5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sat Oct 31 2020, Technical Specialist,"Laval, QC",Current Employee ,Great employer,0,"Super flexible and great place to work with great pay
","have to work evenings and weekends
Advice to Management
create more opportunities to get into management
Helpfu","create more opportunities to get into management
Helpfu",5,5,5,5,3,4,Recommends,Positive Outlook,
Fri Oct 30 2020, Product Specialist,,Former Employee ,Product Specialist,0,"Amazing company to work for
Great pay 
Awesome Environment
","Holidays were very busy 
Hard to balance with school at times with min. hours having to work
Helpfu",,4,3,,,,,,,
Wed Oct 14 2020, Specialist,"Toronto, ON",Current Employee ,Dynamic company to work for,0,"Training, support from leaders and fun workdays
","Customer service can be challenging
Helpfu",,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Oct 27 2020, Apple Genius,"Montreal, QC",Former Employee ,great,0,"working like a machine all the time
","schedule were crazy, no time for us
Helpfu",,4,4,4,4,4,4,Recommends,Neutral Outlook,No Opinion of CEO
Thu Oct 08 2020, Mac Specialist (Apple Store),"Toronto, ON",Current Employee ,Salary review,0,"Good environment and friendly customers
","High stress conversations with potential clients
Helpfu",,5,,,,,,Recommends,Positive Outlook,Approves of CEO
Thu Oct 08 2020, Nursing Student,"Toronto, ON",Former Employee ,Ff,0,"Good Friendly Nice Good pay Good benefit
","Power dynamics Politics Can be very limiting
",,5,,,,,,,,
Wed Oct 21 2020, Apple Retail Specialist,"Laval, QC",Former Employee ,Overall good job,0,"Good pay for students or your futur carrer, you can grow in the company
","Schedule issues, late nights, full time even weekends
Helpfu",,4,3,5,5,4,3,Recommends,Positive Outlook,Approves of CEO
Tue Oct 06 2020, Apple Genius,,Former Employee ,The BEST experience,0,"Amazing company, you learn so much it’s incredible
","As a student it could be hard hours during exams
Helpfu",,5,,,,,,,,
Tue Oct 06 2020, Sales Specialist,"Vancouver, BC",Current Employee ,Great place to work here,0,"- Great management, very helpful and conscious about team member's support - Awesome co-workers who share the same passion as you do - Nice place to build your customer service skills!
","- Constantly busy at the store; expect high customer traffic - Not all customers will be happy/compliant when entering into the store, expect to handle tense conflict - Sometimes technology won't work in your favour, which upsets both parties immensely
",,5,5,4,5,3,5,Recommends,Positive Outlook,Approves of CEO
Wed Oct 21 2020, Specialist,"Mississauga, ON",Former Employee ,Fired me and told me to go to therapy,0,"Great People to work with, Friendly Environment
","Discounts are horrible Managers can be toxic Depending on store, there can be way too many people
",,2,,,,,,,,
Mon Oct 05 2020, Software Engineer,"Toronto, ON",Current Employee ,Chinese,0,"Good pay for less work
","No coffee sometimes at the workplace
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Oct 06 2020, Sales Specialist,"Vancouver, BC",Current Employee ,Great place to work here,0,"- Great management, very helpful and conscious about team member's support
- Awesome co-workers who share the same passion as you do
- Nice place to build your customer service skills!
","- Constantly busy at the store; expect high customer traffic
- Not all customers will be happy/compliant when entering into the store, expect to handle tense conflict
- Sometimes technology won't work in your favour, which upsets both parties immensely
Helpfu",,5,5,4,5,3,5,Recommends,Positive Outlook,Approves of CEO
Wed Oct 21 2020, Specialist,"Mississauga, ON",Former Employee ,Fired me and told me to go to therapy,0,"Great People to work with, Friendly Environment
","Discounts are horrible
Managers can be toxic
Depending on store, there can be way too many people
Helpfu",,2,,,,,,,,
Mon Oct 05 2020, Software Engineer,"Toronto, ON",Current Employee ,Chinese,0,"Good pay for less work
","No coffee sometimes at the workplace
Advice to Management
You are good, dont change anything
Helpfu","You are good, dont change anything
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Sun Oct 18 2020, IOS Tier I Advisor,"Toronto, ON",Current Employee ,Awesome benefits,0,"benefits, perks and discounts, work from home
","slow process of moving up
Helpfu",,4,3,4,4,4,5,Recommends,Positive Outlook,Approves of CEO
Sun Sep 27 2020, MBA Student,"Waterloo, ON",Current Employee ,Apple,0,#NAME?,#NAME?,,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Sep 22 2020, Product Specialist,"Toronto, ON",Current Employee ,Great place to work,0,"nice environment and team of people
","no commission is there in the retail
",,5,5,5,5,5,4,Recommends,Positive Outlook,Approves of CEO
Tue Oct 06 2020, Product Specialist,"Waterloo, ON",Current Employee ,Great part-time job!,0,"Very supportive management team for a retail location
","Sometimes management have no idea what they're talking about because they've never actually been a specialist or at the genius bar
",,4,,,,,,,,
Mon Oct 05 2020, Apple At Home Advisor,"Toronto, ON",Current Employee ,Apple Advisor,0,#NAME?,#NAME?,,4,3,4,5,5,3,Recommends,Neutral Outlook,
Fri Sep 18 2020, Customer Service,"Toronto, ON",Current Employee ,Great,0,"Salary is so much great
","NO there is not any.
",,5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Thu Oct 01 2020, Retail Sales Representative,"Toronto, ON",Former Employee ,Amazing Job and Opportunity,0,"Great pay, wonderful people. Definitely a great experience to have
","Some improvement in the management style.
Helpfu",,4,,,,,,,,
Wed Sep 30 2020, Specialist,"Toronto, ON",Former Employee ,The best job I’ve ever had,0,"Amazing people, benefits, good discounts
","Very little opportunity for advancement past retail
",,4,4,4,2,4,3,Recommends,Positive Outlook,
Tue Sep 15 2020, Sales Specialist,"Vancouver, BC",Former Employee ,It was fun,0,"People are so nice, very welcome
","There’s nothing to talk about here actually
Helpfu",,5,5,5,5,5,5,,,
Mon Sep 28 2020, Genius Administrative,,Former Employee ,"Good job, Great pay, WILL get you out of your box if you like it or not",0,"good pay, inclusive, growth opportunity, all around it is a great job, high energy(all the time)
","""forced fun"", always on, high energy(all the time)
Helpfu",,4,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Tue Oct 06 2020, Product Specialist,"Waterloo, ON",Current Employee ,Great part-time job!,0,"Very supportive management team for a retail location
","Sometimes management have no idea what they're talking about because they've never actually been a specialist or at the genius bar
Advice to Management
Learn more about our services yourselves!
Helpfu","Learn more about our services yourselves!
Helpfu",4,,,,,,,,
Fri Sep 18 2020, Customer Service,"Toronto, ON",Current Employee ,Great,0,"Salary is so much great
","NO there is not any.
Advice to Management
no
Helpfu","no
Helpfu",5,5,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
Wed Sep 30 2020, Specialist,"Toronto, ON",Former Employee ,The best job I’ve ever had,0,"Amazing people, benefits, good discounts
","Very little opportunity for advancement past retail
Advice to Management
Stop playing favourites and stop curtailing peoples development. Also, allow the employee to choose their coaches. Bad matches ruin advancement
Helpfu","Stop playing favourites and stop curtailing peoples development. Also, allow the employee to choose their coaches. Bad matches ruin advancement
Helpfu",4,4,4,2,4,3,Recommends,Positive Outlook,
Fri Sep 11 2020, Specialist,"Vancouver, BC",Current Employee ,Amazing Place to work,0,"Supportive team, Amazing leadership, Learning Environment
","Less flexible schedule, Hard to Grow but possible, Competitive
Helpfu",,5,3,5,5,3,4,Recommends,Positive Outlook,Approves of CEO
Tue Sep 08 2020, Software Engineer,,Former Employee ,Great to for the best,1,"Free macs and iPhones. Seeing my work used everywhere.
","couldn't tell anyone about what I was working on
Helpful (1",,5,5,5,5,5,5,,,
Fri Sep 11 2020, Operations,,Current Employee ,Very Diverse Workplace,0,#NAME?,#NAME?,,5,4,5,5,5,5,Recommends,Positive Outlook,Approves of CEO
